Date,buy tesla_unscaled,scale,buy tesla,elon musk_unscaled,scale,elon musk,model 3_unscaled,scale,model 3,model y_unscaled,scale,model y,tsla stock_unscaled,scale,tsla stock,tesla earnings_unscaled,scale,tesla earnings,car market_unscaled,scale,car market,electric vehicles_unscaled,scale,electric vehicles,environment_unscaled,scale,environment,elon musk fraud_unscaled,scale,elon musk fraud,whistleblower_unscaled,scale,whistleblower,union_unscaled,scale,union,tesla debt_unscaled,scale,tesla debt,subsidy_unscaled,scale,subsidy,Open,High,Low,Close,Out
2020-11-01,30,0.15,4.5,28,0.07,1.9600000000000002,91,0.53,48.230000000000004,75,0.4,30.0,4,0.36,1.44,0,0.03,0.0,61,0.37,22.57,57,0.35,19.95,42,0.75,31.5,0.0,0.0,0.0,21,0.08,1.68,60,0.68,40.800000000000004,0,0.17,0.0,39,0.71,27.689999999999998,394.0,406.98,392.3,400.5,0
2020-11-02,26,0.15,3.9,42,0.07,2.9400000000000004,86,0.53,45.580000000000005,59,0.4,23.6,36,0.36,12.959999999999999,0,0.03,0.0,85,0.37,31.45,27,0.35,9.45,93,0.75,69.75,0.0,0.0,0.0,18,0.08,1.44,100,0.68,68.0,0,0.17,0.0,60,0.71,42.599999999999994,394.0,406.9800109863281,392.29998779296875,400.510009765625,0
2020-11-03,50,0.15,7.5,27,0.07,1.8900000000000001,89,0.53,47.17,57,0.4,22.8,32,0.36,11.52,60,0.03,1.7999999999999998,32,0.37,11.84,42,0.35,14.7,89,0.75,66.75,0.0,0.0,0.0,30,0.08,2.4,87,0.68,59.160000000000004,0,0.17,0.0,71,0.71,50.41,409.7300109863281,427.7699890136719,406.69000244140625,423.8999938964844,0
2020-11-04,19,0.15,2.85,13,0.07,0.9100000000000001,29,0.53,15.370000000000001,39,0.4,15.600000000000001,21,0.36,7.56,12,0.03,0.36,39,0.37,14.43,10,0.35,3.5,54,0.75,40.5,0.0,0.0,0.0,13,0.08,1.04,51,0.68,34.68,0,0.17,0.0,55,0.71,39.05,430.6199951171875,435.3999938964844,417.1000061035156,420.9800109863281,1
2020-11-05,27,0.15,4.05,21,0.07,1.4700000000000002,58,0.53,30.740000000000002,48,0.4,19.200000000000003,28,0.36,10.08,14,0.03,0.42,18,0.37,6.66,60,0.35,21.0,68,0.75,51.0,0.0,0.0,0.0,76,0.08,6.08,62,0.68,42.160000000000004,0,0.17,0.0,37,0.71,26.27,428.29998779296875,440.0,424.0,438.0899963378906,0
2020-11-06,46,0.15,6.8999999999999995,29,0.07,2.0300000000000002,62,0.53,32.86,49,0.4,19.6,23,0.36,8.28,32,0.03,0.96,36,0.37,13.32,43,0.35,15.049999999999999,63,0.75,47.25,0.0,0.0,0.0,65,0.08,5.2,71,0.68,48.28,0,0.17,0.0,47,0.71,33.37,436.1000061035156,436.57000732421875,424.2799987792969,429.95001220703125,1
2020-11-07,42,0.15,6.3,33,0.07,2.31,71,0.53,37.63,65,0.4,26.0,8,0.36,2.88,0,0.03,0.0,54,0.37,19.98,35,0.35,12.25,40,0.75,30.0,0.0,0.0,0.0,31,0.08,2.48,62,0.68,42.160000000000004,45,0.17,7.65,12,0.71,8.52,436.1000061035156,436.57000732421875,424.2799987792969,429.95001220703125,1
2020-11-08,47,0.32,15.040000000000001,32,0.09,2.88,66,0.62,40.92,62,0.52,32.24,5,0.44,2.2,21,0.05,1.05,41,0.5,20.5,45,0.42,18.9,48,0.91,43.68,0.0,0.47,0.0,45,0.12,5.3999999999999995,52,0.77,40.04,51,0.19,9.69,35,0.63,22.05,436.1000061035156,436.57000732421875,424.2799987792969,429.95001220703125,1
2020-11-09,19,0.32,6.08,27,0.09,2.4299999999999997,82,0.62,50.839999999999996,83,0.52,43.160000000000004,35,0.44,15.4,0,0.05,0.0,100,0.5,50.0,26,0.42,10.92,97,0.91,88.27,0.0,0.47,0.0,50,0.12,6.0,86,0.77,66.22,0,0.19,0.0,63,0.63,39.69,439.5,452.5,421.0,421.260009765625,1
2020-11-10,75,0.32,24.0,26,0.09,2.34,76,0.62,47.12,38,0.52,19.76,41,0.44,18.04,39,0.05,1.9500000000000002,63,0.5,31.5,26,0.42,10.92,100,0.91,91.0,0.0,0.47,0.0,26,0.12,3.12,85,0.77,65.45,0,0.19,0.0,82,0.63,51.660000000000004,420.0899963378906,420.0899963378906,396.0299987792969,410.3599853515625,1
2020-11-11,37,0.32,11.84,26,0.09,2.34,72,0.62,44.64,87,0.52,45.24,24,0.44,10.56,59,0.05,2.95,63,0.5,31.5,16,0.42,6.72,92,0.91,83.72,0.0,0.47,0.0,100,0.12,12.0,84,0.77,64.68,0,0.19,0.0,57,0.63,35.910000000000004,416.45001220703125,418.70001220703125,410.5799865722656,417.1300048828125,0
2020-11-12,36,0.32,11.52,26,0.09,2.34,69,0.62,42.78,61,0.52,31.720000000000002,25,0.44,11.0,19,0.05,0.9500000000000001,49,0.5,24.5,31,0.42,13.02,94,0.91,85.54,0.0,0.47,0.0,80,0.12,9.6,90,0.77,69.3,0,0.19,0.0,56,0.63,35.28,415.04998779296875,423.0,409.5199890136719,411.760009765625,1
2020-11-13,38,0.32,12.16,61,0.09,5.49,56,0.62,34.72,80,0.52,41.6,37,0.44,16.28,40,0.05,2.0,58,0.5,29.0,69,0.42,28.98,92,0.91,83.72,0.0,0.47,0.0,60,0.12,7.199999999999999,94,0.77,72.38,0,0.19,0.0,52,0.63,32.76,410.8500061035156,412.5299987792969,401.6600036621094,408.5,1
2020-11-14,36,0.32,11.52,76,0.09,6.84,99,0.62,61.38,65,0.52,33.800000000000004,7,0.44,3.08,23,0.05,1.1500000000000001,36,0.5,18.0,24,0.42,10.08,47,0.91,42.77,100.0,0.47,47.0,24,0.12,2.88,76,0.77,58.52,0,0.19,0.0,22,0.63,13.86,410.8500061035156,412.5299987792969,401.6600036621094,408.5,1
2020-11-15,35,0.34,11.9,73,0.13,9.49,100,0.76,76.0,73,0.5,36.5,5,0.78,3.9000000000000004,0,0.04,0.0,64,0.53,33.92,29,0.52,15.08,50,0.92,46.0,0.0,0.49,0.0,10,0.06,0.6,58,0.79,45.82,0,0.2,0.0,36,0.62,22.32,410.8500061035156,412.5299987792969,401.6600036621094,408.5,1
2020-11-16,44,0.34,14.96,87,0.13,11.31,80,0.76,60.8,66,0.5,33.0,41,0.78,31.98,60,0.04,2.4,51,0.53,27.03,11,0.52,5.720000000000001,93,0.92,85.56,0.0,0.49,0.0,36,0.06,2.16,85,0.79,67.15,0,0.2,0.0,78,0.62,48.36,408.92999267578125,412.45001220703125,404.0899963378906,408.0899963378906,1
2020-11-17,70,0.34,23.8,66,0.13,8.58,80,0.76,60.8,80,0.5,40.0,100,0.78,78.0,100,0.04,4.0,77,0.53,40.81,69,0.52,35.88,98,0.92,90.16000000000001,0.0,0.49,0.0,30,0.06,1.7999999999999998,86,0.79,67.94,0,0.2,0.0,97,0.62,60.14,460.1700134277344,462.0,433.010009765625,441.6099853515625,1
2020-11-18,33,0.34,11.22,58,0.13,7.54,71,0.76,53.96,51,0.5,25.5,76,0.78,59.28,41,0.04,1.6400000000000001,79,0.53,41.870000000000005,55,0.52,28.6,99,0.92,91.08,0.0,0.49,0.0,18,0.06,1.08,83,0.79,65.57000000000001,0,0.2,0.0,60,0.62,37.2,448.3500061035156,496.0,443.5,486.6400146484375,0
2020-11-19,77,0.34,26.180000000000003,43,0.13,5.59,92,0.76,69.92,47,0.5,23.5,59,0.78,46.02,20,0.04,0.8,58,0.53,30.740000000000002,64,0.52,33.28,86,0.92,79.12,0.0,0.49,0.0,9,0.06,0.54,85,0.79,67.15,0,0.2,0.0,39,0.62,24.18,492.0,508.6099853515625,487.57000732421875,499.2699890136719,0
2020-11-20,53,0.34,18.02,41,0.13,5.33,82,0.76,62.32,60,0.5,30.0,40,0.78,31.200000000000003,42,0.04,1.68,60,0.53,31.8,100,0.52,52.0,97,0.92,89.24000000000001,92.0,0.49,45.08,28,0.06,1.68,89,0.79,70.31,50,0.2,10.0,27,0.62,16.74,497.989990234375,502.5,489.05999755859375,489.6099853515625,1
2020-11-21,22,0.34,7.48,44,0.13,5.720000000000001,75,0.76,57.0,78,0.5,39.0,11,0.78,8.58,0,0.04,0.0,36,0.53,19.080000000000002,60,0.52,31.200000000000003,45,0.92,41.4,0.0,0.49,0.0,7,0.06,0.42,72,0.79,56.88,54,0.2,10.8,29,0.62,17.98,497.989990234375,502.5,489.05999755859375,489.6099853515625,1
2020-11-22,42,0.51,21.42,33,0.15,4.95,95,0.72,68.39999999999999,89,0.61,54.29,5,0.63,3.15,44,0.05,2.2,43,0.54,23.220000000000002,53,0.38,20.14,43,0.59,25.369999999999997,0.0,0.0,0.0,17,0.04,0.68,54,0.79,42.660000000000004,0,0.21,0.0,22,0.38,8.36,497.989990234375,502.5,489.05999755859375,489.6099853515625,1
2020-11-23,46,0.51,23.46,33,0.15,4.95,70,0.72,50.4,43,0.61,26.23,50,0.63,31.5,0,0.05,0.0,72,0.54,38.88,33,0.38,12.540000000000001,69,0.59,40.71,0.0,0.0,0.0,12,0.04,0.48,87,0.79,68.73,0,0.21,0.0,40,0.38,15.2,503.5,526.0,501.7900085449219,521.8499755859375,0
2020-11-24,100,0.51,51.0,100,0.15,15.0,77,0.72,55.44,69,0.61,42.089999999999996,75,0.63,47.25,63,0.05,3.1500000000000004,54,0.54,29.160000000000004,56,0.38,21.28,63,0.59,37.169999999999995,0.0,0.0,0.0,6,0.04,0.24,88,0.79,69.52000000000001,100,0.21,21.0,68,0.38,25.84,540.4000244140625,559.989990234375,526.2000122070312,555.3800048828125,0
2020-11-25,61,0.51,31.11,83,0.15,12.45,97,0.72,69.84,58,0.61,35.38,62,0.63,39.06,0,0.05,0.0,61,0.54,32.940000000000005,28,0.38,10.64,52,0.59,30.68,0.0,0.0,0.0,25,0.04,1.0,91,0.79,71.89,50,0.21,10.5,41,0.38,15.58,550.0599975585938,574.0,545.3699951171875,574.0,0
