Tweet ID,Original Text,Cleaned Text,Filtered Tokens,Stemmed Tokens,Lemmatized Tokens
1465017892383215618,hours stop election rigged election stolen disgrace unconstitutional what democrats have done landslide deep state does want know that,hours stop election rigged election stolen disgrace unconstitutional what democrats have done landslide deep state does want know that,hours stop election rigged election stolen disgrace unconstitutional what democrats have done landslide deep state does want know that,"['hour', 'stop', 'elect', 'rig', 'elect', 'stolen', 'disgrac', 'unconstitut', 'what', 'democrat', 'have', 'done', 'landslid', 'deep', 'state', 'doe', 'want', 'know', 'that']","['hour', 'stop', 'election', 'rigged', 'election', 'stolen', 'disgrace', 'unconstitutional', 'what', 'democrat', 'have', 'done', 'landslide', 'deep', 'state', 'doe', 'want', 'know', 'that']"
1465017891531759617,wasn known that last november going rigged election,wasn known that last november going rigged election,wasn known that last november going rigged election,"['wasn', 'known', 'that', 'last', 'novemb', 'go', 'rig', 'elect']","['wasn', 'known', 'that', 'last', 'november', 'going', 'rigged', 'election']"
1465017886393741315,have strong hunch that fauci released more than covid onto world stage always seemed know that outbreak something always coming covid have arrive america help steal 2020 election that dangerous needs locked,have strong hunch that fauci released more than covid onto world stage always seemed know that outbreak something always coming covid have arrive america help steal 2020 election that dangerous needs locked,have strong hunch that fauci released more than covid onto world stage always seemed know that outbreak something always coming covid have arrive america help steal 2020 election that dangerous needs locked,"['have', 'strong', 'hunch', 'that', 'fauci', 'releas', 'more', 'than', 'covid', 'onto', 'world', 'stage', 'alway', 'seem', 'know', 'that', 'outbreak', 'someth', 'alway', 'come', 'covid', 'have', 'arriv', 'america', 'help', 'steal', '2020', 'elect', 'that', 'danger', 'need', 'lock']","['have', 'strong', 'hunch', 'that', 'fauci', 'released', 'more', 'than', 'covid', 'onto', 'world', 'stage', 'always', 'seemed', 'know', 'that', 'outbreak', 'something', 'always', 'coming', 'covid', 'have', 'arrive', 'america', 'help', 'steal', '2020', 'election', 'that', 'dangerous', 'need', 'locked']"
1465017879540088834,money powell raised allegedly fund attempts overturn election which they said ranged anywhere million million wood ugly fight over rittenhouse bail money overstock byrne wanted,money powell raised allegedly fund attempts overturn election which they said ranged anywhere million million wood ugly fight over rittenhouse bail money overstock byrne wanted,money powell raised allegedly fund attempts overturn election which they said ranged anywhere million million wood ugly fight over rittenhouse bail money overstock byrne wanted,"['money', 'powel', 'rais', 'allegedli', 'fund', 'attempt', 'overturn', 'elect', 'which', 'they', 'said', 'rang', 'anywher', 'million', 'million', 'wood', 'ugli', 'fight', 'over', 'rittenhous', 'bail', 'money', 'overstock', 'byrn', 'want']","['money', 'powell', 'raised', 'allegedly', 'fund', 'attempt', 'overturn', 'election', 'which', 'they', 'said', 'ranged', 'anywhere', 'million', 'million', 'wood', 'ugly', 'fight', 'over', 'rittenhouse', 'bail', 'money', 'overstock', 'byrne', 'wanted']"
1465017875375218700,running election mint platform that should able order quarters laundry online actually,running election mint platform that should able order quarters laundry online actually,running election mint platform that should able order quarters laundry online actually,"['run', 'elect', 'mint', 'platform', 'that', 'should', 'abl', 'order', 'quarter', 'laundri', 'onlin', 'actual']","['running', 'election', 'mint', 'platform', 'that', 'should', 'able', 'order', 'quarter', 'laundry', 'online', 'actually']"
1465017866978316289,sound light show market next week latest covid weather update election results more,sound light show market next week latest covid weather update election results more,sound light show market next week latest covid weather update election results more,"['sound', 'light', 'show', 'market', 'next', 'week', 'latest', 'covid', 'weather', 'updat', 'elect', 'result', 'more']","['sound', 'light', 'show', 'market', 'next', 'week', 'latest', 'covid', 'weather', 'update', 'election', 'result', 'more']"
1465017862872092685,what woke leftists fail understand that live democracy they have numbers even municipal catcher election they feel relevant arguing nauseum what point arguing changing anybody mind,what woke leftists fail understand that live democracy they have numbers even municipal catcher election they feel relevant arguing nauseum what point arguing changing anybody mind,what woke leftists fail understand that live democracy they have numbers even municipal catcher election they feel relevant arguing nauseum what point arguing changing anybody mind,"['what', 'woke', 'leftist', 'fail', 'understand', 'that', 'live', 'democraci', 'they', 'have', 'number', 'even', 'municip', 'catcher', 'elect', 'they', 'feel', 'relev', 'argu', 'nauseum', 'what', 'point', 'argu', 'chang', 'anybodi', 'mind']","['what', 'woke', 'leftist', 'fail', 'understand', 'that', 'live', 'democracy', 'they', 'have', 'number', 'even', 'municipal', 'catcher', 'election', 'they', 'feel', 'relevant', 'arguing', 'nauseum', 'what', 'point', 'arguing', 'changing', 'anybody', 'mind']"
1465017855326310400,stop talking about tripura municipality election total votes polled seat small state,stop talking about tripura municipality election total votes polled seat small state,stop talking about tripura municipality election total votes polled seat small state,"['stop', 'talk', 'about', 'tripura', 'municip', 'elect', 'total', 'vote', 'poll', 'seat', 'small', 'state']","['stop', 'talking', 'about', 'tripura', 'municipality', 'election', 'total', 'vote', 'polled', 'seat', 'small', 'state']"
1465017851350290438,even libre pull this tonight problem narco trafficking honduras will simply away will election xiomara lead confrontation with drug trafficking groups genuine question know,even libre pull this tonight problem narco trafficking honduras will simply away will election xiomara lead confrontation with drug trafficking groups genuine question know,even libre pull this tonight problem narco trafficking honduras will simply away will election xiomara lead confrontation with drug trafficking groups genuine question know,"['even', 'libr', 'pull', 'thi', 'tonight', 'problem', 'narco', 'traffick', 'hondura', 'will', 'simpli', 'away', 'will', 'elect', 'xiomara', 'lead', 'confront', 'with', 'drug', 'traffick', 'group', 'genuin', 'question', 'know']","['even', 'libre', 'pull', 'this', 'tonight', 'problem', 'narco', 'trafficking', 'honduras', 'will', 'simply', 'away', 'will', 'election', 'xiomara', 'lead', 'confrontation', 'with', 'drug', 'trafficking', 'group', 'genuine', 'question', 'know']"
1465017850964369417,also note were year away election walker pulled that shit couple weeks election here wisconsin aslight bstruct roject here,also note were year away election walker pulled that shit couple weeks election here wisconsin aslight bstruct roject here,also note were year away election walker pulled that shit couple weeks election here wisconsin aslight bstruct roject here,"['also', 'note', 'were', 'year', 'away', 'elect', 'walker', 'pull', 'that', 'shit', 'coupl', 'week', 'elect', 'here', 'wisconsin', 'aslight', 'bstruct', 'roject', 'here']","['also', 'note', 'were', 'year', 'away', 'election', 'walker', 'pulled', 'that', 'shit', 'couple', 'week', 'election', 'here', 'wisconsin', 'aslight', 'bstruct', 'roject', 'here']"
